rank,city,state,estimate_population_2018,census_2010,change_in_percentage,land_area_sq_miles_2016,land_area_sq_km_2016,population_density_sq_miles_2016,population_density_sq_km_2016,city_link,area_codes,county,area_land_sq_miles,gov_mayor,area_metro_sq_miles,time_zone_summer_dst,gov_type,area_water_sq_miles,about_city,lattitude,longitude,country
1,New York City,New York,8398748,8175133,+2.74,301.5  ,780.9 ,28317 ,10933,https://en.wikipedia.org/wiki/New_York_City,212/646/332/ 718/347/929/ 917,nan,302.643   ,bill de blasio ,13318   ,utc−04:00 (edt),mayor–council,165.841  ," The City of New York, usually called either New York City  or simply New York , is the most populous city in the United States. With an estimated 2018 population of 8,398,748 distributed over a land area of about 302.6 square miles , New York is also the most densely populated major city in the United States. Located at the southern tip of the state of New York, the city is the center of the New York metropolitan area, the largest metropolitan area in the world by urban landmass and one of the world's most populous megacities, with an estimated 19,979,477 people in its 2018 Metropolitan Statistical Area and 22,679,948 residents in its Combined Statistical Area. A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, tourism, art, fashion, and sports. The city's fast pace has inspired the term New York minute. Home to the headquarters of the United Nations, New York is an important center for international diplomacy.Situated on one of the world's largest natural harbors, New York City consists of five boroughs, each of which is a separate county of the State of New York. The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898. The city and its metropolitan area constitute the premier gateway for legal immigration to the United States. As many as 800 languages are spoken in New York, making it the most linguistically diverse city in the world. New York City is home to more than 3.2 million residents born outside the United States, the largest foreign-born population of any city in the world.  In 2017, the New York metropolitan area produced a gross metropolitan product  of US$1.73 trillion. If greater New York City were a sovereign state, it would have the 12th highest GDP in the world. New York is home to the highest number of billionaires of any city in the world.", 40.663, -73.9387,USA
2,Los Angeles,California,3990456,3792621,+5.22,468.7  ,1213.9 ,8484 ,3276,https://en.wikipedia.org/wiki/Los_Angeles,213/323/ 310/424/ 747/818,los angeles,468.74   ,eric garcetti ,13131431 ,utc−07:00 (pdt),mayor-council-commission,34.02  ," Los Angeles ; Spanish: Los Ángeles, officially the City of Los Angeles and often known by its initials L.A., is the most populous city in California, the second most populous city in the United States, after New York City, and the third most populous city in North America. With an estimated population of four million, Los Angeles is the cultural, financial, and commercial center of Southern California. The city is known for its Mediterranean climate, ethnic diversity, Hollywood and the entertainment industry, and its sprawling metropolis. Los Angeles is the largest city on the West Coast of North America.",34.0194,-118.4108,USA
3,Chicago,Illinois,2705994,2695598,+0.39,227.3  ,588.7 ,11900 ,4600,https://en.wikipedia.org/wiki/Chicago,312/872/773/872,"cook, dupage",227.34   ,lori lightfoot ,9533040 ,utc−05:00 (central),mayor–council,6.80  ," Chicago , locally also , officially the City of Chicago, is the most populous city in Illinois, as well as the third most populous city in the United States. With an estimated population of 2,716,450 , it is the most populous city in the Midwest. Chicago is the principal city of the Chicago metropolitan area, often referred to as Chicagoland, and the county seat of Cook County, the second most populous county in the United States. The metropolitan area, at nearly 10 million people, is the third-largest in the United States.", 41.837, -87.6818,USA
4,Houston,Texas,2325502,2100263,+10.72,637.5  ,1651.1 ,3613 ,1395,https://en.wikipedia.org/wiki/Houston,713/ 281/ 832/ 346,"harris, fort bend, montgomery",599.59   ,sylvester turner ,6997384 ,utc−5 (cdt),mayor–council,nan," Houston  HEW-stən is the most populous city in the U.S. state of Texas, fourth most populous city in the United States, as well as the sixth most populous in North America, with an estimated 2018 population of 2,328,419. Located in Southeast Texas near Galveston Bay and the Gulf of Mexico, it is the seat of Harris County and the principal city of the Greater Houston metropolitan area, which is the fifth most populous metropolitan statistical area in the United States and the second most populous in Texas after the Dallas-Fort Worth metroplex, with a population of 6,997,384 in 2018.Comprising a total area of 637.4 square miles , Houston is the eighth most expansive city in the United States . It is the largest city in the United States by total area, whose government is similarly not consolidated with that of a county or borough. Though primarily in Harris County, small portions of the city extend into Fort Bend and Montgomery counties, bordering other principal communities of Greater Houston such as Sugar Land and The Woodlands.", 29.786, -95.3909,USA
5,Phoenix,Arizona,1660272,1445632,+14.85,517.6  ,1340.6 ,3120 ,1200,"https://en.wikipedia.org/wiki/Phoenix,_Arizona","480
/602
/623",maricopa,517.64   ,kate gallego,4737270 ,,council-manager,1.25  ," Phoenix  is the capital and most populous city of Arizona, with 1,626,000 people . It is also the fifth most populous city in the United States and the only state capital with a population of more than one million residents. The state capital accounts for 23% of the state population.",33.5722,-112.0901,USA
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81,134.2  ,347.6 ,11683 ,4511,https://en.wikipedia.org/wiki/Philadelphia,215/ 267/ 445,philadelphia,134.28   ,jim kenney ,6096120 ,utc-4 (edt),"mayor–council, consolidated city-county",8.42  ," Philadelphia , known colloquially as Philly, is the largest city in the U.S. state and Commonwealth of Pennsylvania, and the sixth-most populous U.S. city, with a 2018 census-estimated population of 1,584,138. Since 1854, the city has been coterminous with Philadelphia County, the most populous county in Pennsylvania and the urban core of the eighth-largest U.S. metropolitan statistical area, with over 6 million residents as of 2017. Philadelphia is also the economic and cultural anchor of the greater Delaware Valley, located along the lower Delaware and Schuylkill Rivers, within the Northeast megalopolis. The Delaware Valley's population of 7.2 million ranks it as the eighth-largest combined statistical area in the United States.William Penn, an English Quaker, founded the city in 1682 to serve as capital of the Pennsylvania Colony. Philadelphia played an instrumental role in the American Revolution as a meeting place for the Founding Fathers of the United States, who signed the Declaration of Independence in 1776 at the Second Continental Congress, and the Constitution at the Philadelphia Convention of 1787. Several other key events occurred in Philadelphia during the Revolutionary War including the First Continental Congress, the preservation of the Liberty Bell, the Battle of Germantown, and the Siege of Fort Mifflin. Philadelphia remained the nation's largest city until being overtaken by New York City in 1790; the city was also one of the nation's capitals during the revolution, serving as temporary U.S. capital while Washington, D.C. was under construction. In the 19th century, Philadelphia became a major industrial center and a railroad hub. The city grew from an influx of European immigrants, most of whom came from Ireland, Italy and Germany—the three largest reported ancestry groups in the city as of 2015. In the early 20th century, Philadelphia became a prime destination for African Americans during the Great Migration after the Civil War, as well as Puerto Ricans. The city's population doubled from one million to two million people between 1890 and 1950.", 40.009, -75.1333,USA
7,San Antonio,Texas,1532233,1327407,+15.43,461.0  ,1194.0 ,3238 ,1250,https://en.wikipedia.org/wiki/San_Antonio,210 / 830 / 726,"bexar, medina, comal",460.93   ,ron nirenberg ,2473974 ,utc−5 (cdt),council-manager,4.5  ," San Antonio , officially the City of San Antonio, is the seventh-most populous city in the United States, and the second-most populous city in both Texas and the Southern United States, with more than 1.5 million residents. Founded as a Spanish mission and colonial outpost in 1718, the city became the first chartered civil settlement in present-day Texas in 1731. The area was still part of the Spanish Empire, and later of the Mexican Republic. Today it is the state's oldest municipality.The city's deep history is contrasted with its rapid recent growth during the past few decades. It was the fastest-growing of the top ten largest cities in the United States from 2000 to 2010, and the second from 1990 to 2000. Straddling the regional divide between South and Central Texas, San Antonio anchors the southwestern corner of an urban megaregion colloquially known as the ""Texas Triangle"".", 29.472, -98.5251,USA
8,San Diego,California,1425976,1307402,+9.07,325.2  ,842.3 ,4325 ,1670,https://en.wikipedia.org/wiki/San_Diego,619/ 858,san diego,325.19   ,kevin faulconer ,3317749 ,utc−7 (pdt),strong mayor,47.20  ," San Diego  is a city in the U.S. state of California. It is in San Diego County, on the coast of the Pacific Ocean in Southern California, approximately 120 miles  south of Los Angeles and immediately adjacent to the border with Mexico.With an estimated population of 1,419,516 as of July 1, 2017, San Diego is the eighth-largest city in the United States and second-largest in California. It is part of the San Diego–Tijuana conurbation, the second-largest transborder agglomeration between the U.S. and a bordering country after Detroit–Windsor, with a population of 4,922,723 people. The city is known for its mild year-round climate, natural deep-water harbor, extensive beaches, long association with the United States Navy, and recent emergence as a healthcare and biotechnology development center.",32.8153,-117.1350,USA
9,Dallas,Texas,1345047,1197816,+12.29,340.9  ,882.9 ,3866 ,1493,https://en.wikipedia.org/wiki/Dallas,214/ 469/ 972/ 682/ 817,"dallas, collin, denton, rockwall, kaufman",340.5   ,mike rawlings ,7233323 ,utc−5 (central),council–manager,45.3  ," Dallas , officially the City of Dallas, is a city in the U.S. state of Texas and the seat of Dallas County, with portions extending into Collin, Denton, Kaufman and Rockwall counties. With an estimated 2017 population of 1,341,075, it is the ninth most-populous city in the U.S. and third in Texas after Houston and San Antonio. It is also the eighteenth most-populous city in North America as of 2015. Located in North Texas, the city of Dallas is the main core of the largest metropolitan area in the Southern United States and the largest inland metropolitan area in the U.S. that lacks any navigable link to the sea. It is the most populous city in the Dallas–Fort Worth metroplex, the fourth-largest metropolitan area in the country at 7.5 million people as of 2018. The city's combined statistical area is the seventh-largest in the U.S. as of 2017, with 7,846,293 residents.Dallas and nearby Fort Worth were initially developed due to the construction of major railroad lines through the area allowing access to cotton, cattle and later oil in North and East Texas. The construction of the Interstate Highway System reinforced Dallas's prominence as a transportation hub, with four major interstate highways converging in the city and a fifth interstate loop around it. Dallas then developed as a strong industrial and financial center and a major inland port, due to the convergence of major railroad lines, interstate highways and the construction of Dallas/Fort Worth International Airport, one of the largest and busiest airports in the world.", 32.793, -96.7665,USA
10,San Jose,California,1030119,945942,+8.90,177.5  ,459.7 ,5777 ,2231,"https://en.wikipedia.org/wiki/San_Jose,_California",408/669,santa clara,177.51   ,sam liccardo ,1998463 ,utc−7 (pacific daylight time),council–manager,3.01  ," San Jose , officially the City of San José, is the economic, cultural and political center of Silicon Valley, and the largest city in Northern California . With an estimated 2017 population of 1,035,317, it is the third-most populous city in California  and the tenth-most populous in United States. Located in the center of the Santa Clara Valley, on the southern shore of San Francisco Bay, San Jose covers an area of 179.97 square miles . San Jose is the county seat of Santa Clara County, the most affluent county in California and one of the most affluent counties in the United States. San Jose is the most populous city in both the San Francisco Bay Area and the San Jose-San Francisco-Oakland Combined Statistical Area, which contain 7.7 million and 8.7 million people respectively.San Jose is a global city, notable as a center of innovation, for its affluence, Mediterranean climate, and extremely high cost of living. San Jose's location within the booming high tech industry, as a cultural, political, and economic center has earned the city the nickname ""Capital of Silicon Valley"". San Jose is one of the wealthiest major cities in the United States and the world, and has the third highest GDP per capita in the world , according to the Brookings Institution. The San Jose Metropolitan Area has the most millionaires and the most billionaires in the United States per capita. With a median home price of $1,085,000, San Jose has the most expensive housing market in the country and the fifth most expensive housing market in the world, according to the 2017 Demographia International Housing Affordability Survey. Major global tech companies including Cisco Systems, eBay, Adobe Systems, PayPal, Brocade, Samsung, Acer, Hewlett Packard Enterprise, and Western Digital maintain their headquarters in San Jose, in the center of Silicon Valley.",37.2967,-121.8189,USA
11,Austin,Texas,964254,790390,+22.00,312.7  ,809.9 ,3031 ,1170,"https://en.wikipedia.org/wiki/Austin,_Texas",512/737,"hays, travis, williamson",297.9   ,steve adler ,2168316 ,utc−5 (cdt),council–manager,7.2  ," Austin is the capital of the U.S. state of Texas and the seat of Travis County, with portions extending into Hays and Williamson counties. It is the 11th-most populous city in the United States and the 4th-most populous city in Texas. It is also the fastest growing large city in the United States, the second most populous state capital after Phoenix, Arizona, and the southernmost state capital in the contiguous United States. As of the U.S. Census Bureau's July 1, 2017 estimate, Austin had a population of 950,715 up from 790,491 at the 2010 census. The city is the cultural and economic center of the Austin–Round Rock metropolitan statistical area, which had an estimated population of 2,168,316 as of July 1, 2018. Located in Central Texas within the greater Texas Hill Country, it is home to numerous lakes, rivers, and waterways, including Lady Bird Lake and Lake Travis on the Colorado River, Barton Springs, McKinney Falls, and Lake Walter E. Long.In the 1830s, pioneers began to settle the area in central Austin along the Colorado River. In 1839, the site was chosen to replace Houston as the capital of the Republic of Texas and was incorporated under the name ""Waterloo."" Shortly afterward, the name was changed to Austin in honor of Stephen F. Austin, the ""Father of Texas"" and the republic's first secretary of state. The city grew throughout the 19th century and became a center for government and education with the construction of the Texas State Capitol and the University of Texas at Austin. After a severe lull in economic growth from the Great Depression, Austin resumed its steady development, and by the 1990s it emerged as a center for technology and business. A number of Fortune 500 companies have headquarters or regional offices in Austin including, 3M, Amazon.com, Apple Inc., Cisco, eBay, General Motors, Google, IBM, Intel, Oracle Corporation, PayPal, Texas Instruments, and Whole Foods Market. Dell's worldwide headquarters is located in a nearby suburb, Round Rock.", 30.303, -97.7544,USA
12,Jacksonville,Florida,903889,821784,+9.99,747.4  ,1935.8 ,1178 ,455,"https://en.wikipedia.org/wiki/Jacksonville,_Florida",904,duval,747.45   ,lenny curry ,1504980 ,utc−4 (edt),strong mayor–council,127.19  ," Jacksonville is the most populous city in Florida, the most populous city in the southeastern United States and the largest city by area in the contiguous United States. It is the seat of Duval County, with which the city government consolidated in 1968. Consolidation gave Jacksonville its great size and placed most of its metropolitan population within the city limits. As of 2017, Jacksonville's population was estimated to be 892,062. The Jacksonville metropolitan area has a population of 1,523,615 and is the fourth largest in Florida.Jacksonville is centered on the banks of the St. Johns River in the First Coast region of northeast Florida, about 25 miles  south of the Georgia state line and 328 miles  north of Miami. The Jacksonville Beaches communities are along the adjacent Atlantic coast. The area was originally inhabited by the Timucua people, and in 1564 was the site of the French colony of Fort Caroline, one of the earliest European settlements in what is now the continental United States. Under British rule, a settlement grew at the narrow point in the river where cattle crossed, known as Wacca Pilatka to the Seminole and the Cow Ford to the British. A platted town was established there in 1822, a year after the United States gained Florida from Spain; it was named after Andrew Jackson, the first military governor of the Florida Territory and seventh President of the United States.", 30.336, -81.6616,USA
